group	marker	posi	group_Americain	posi_physique
3A	Cluster_12182|Contig1|complementarySeq@1321	72.2	3A	21473173
3B	Cluster_12187|Contig1|original@610	85.6	3B	131867990
3A	Cluster_12187|Contig2|original@326	72.2	3B	131867990
3B	Cluster_1219|Contig2|original@967	98.4	NA	NA
2B	Cluster_12193|Contig1|complementarySeq@413	138	2A	172002085
7A	Cluster_12194|Contig1|complementarySeq@391	97.2	7A	34167592
5A	Cluster_1220|Contig1|complementarySeq@164	286.7	4B	308532428
5A	Cluster_1220|Contig1|likelySeq@164	286.7	4B	308532428
1B	Cluster_12203|Contig2|complementarySeq@1431	225.2	1A	243984733
1B	Cluster_12203|Contig2|likelySeq@560	225.7	1B	294440448
1B	Cluster_12203|Contig2|likelySeq@1431	225.2	1B	294440448
4A	Cluster_12204|Contig1|likelySeq@2065	59.3	4A	72657121
4A	Cluster_12204|Contig2|original@1322	58.9	4B	267369901
5A	Cluster_12209|Contig3|original@374	210.8	5A	105814700
5A	Cluster_12209|Contig3|original@437	210.8	5A	105814700
1B	Cluster_1221|Contig1|original@207	201	1B	285248685
2A	Cluster_12212|Contig1|complementarySeq@1194	158.6	2A	26550840
2A	Cluster_12212|Contig1|likelySeq@1228	158.8	2A	26550840
4A	Cluster_1223|Contig2|original@141	109.4	4A	100234769
4A	Cluster_1223|Contig2|original@301	109.4	4A	100234769
2A	Cluster_12235|Contig1|complementarySeq@489	192.8	2A	227692732
2A	Cluster_12235|Contig1|likelySeq@801	193	2A	227692732
2A	Cluster_12235|Contig1|likelySeq@489	192.8	2A	227692732
2B	Cluster_12235|Contig2|original@402	209.6	2B	294771561
3A	Cluster_12240|Contig2|original@1801	126.8	3A	151708248
1B	Cluster_1225|Contig1|complementarySeq@305	61.8	1B	58314883
2B	Cluster_12255|Contig1|complementarySeq@640	188.3	NA	NA
2A	Cluster_12255|Contig1|likelySeq@652	164.9	NA	NA
2A	Cluster_12255|Contig1|likelySeq@792	165.2	NA	NA
3A	Cluster_1226|Contig3|likelySeq@975	138.4	NA	NA
5B	Cluster_12261|Contig4|original@103	237.9	5B	259475760
7B	Cluster_12266|Contig1|complementarySeq@1165	121.6	7B	212558551
1A	Cluster_1227|Contig1|original@243	103.4	1A	205280152
1B	Cluster_1227|Contig2|complementarySeq@196	118.5	1A	205280152
1B	Cluster_1227|Contig2|likelySeq@196	118.5	NA	NA
2A	Cluster_12274|Contig1|original@360	23.8	2B	12074373
2B	Cluster_12274|Contig4|original@719	51.5	2A	8485257
2A	Cluster_12280|Contig1|original@963	163.3	2A	221682306
2A	Cluster_12280|Contig1|original@945	163.3	2A	221682306
7A	Cluster_12287|Contig1|complementarySeq@640	87.6	NA	NA
7B	Cluster_12287|Contig1|likelySeq@471	23.2	NA	NA
1B	Cluster_1229|Contig10|complementarySeq@1689	78.9	1B	142767129
1B	Cluster_1229|Contig10|complementarySeq@843	78.3	1B	142767129
1A	Cluster_1229|Contig10|likelySeq@1670	72.1	NA	NA
6B	Cluster_1229|Contig6|likelySeq@2169	82.2	6B	40607287
3A	Cluster_12296|Contig3|original@139	254.6	3A	183748463
3A	Cluster_12298|Contig2|likelySeq@3284	72.2	3B	126539108
6B	Cluster_12307|Contig1|likelySeq@769	64.1	6B	34005470
7A	Cluster_12316|Contig2|original@585	218.2	7A	162627692
7B	Cluster_12316|Contig3|original@277	152.1	NA	NA
5A	Cluster_12318|Contig2|original@788	150.2	5A	88949911
5A	Cluster_12318|Contig2|original@758	150.2	5A	88949911
2B	Cluster_1232|Contig1|complementarySeq@260	200.4	2B	280682330
5B	Cluster_12320|Contig3|complementarySeq@741	66.9	NA	NA
5A	Cluster_12320|Contig3|likelySeq@1587	82.3	NA	NA
3A	Cluster_12325|Contig2|original@2012	248.8	NA	NA
3B	Cluster_12325|Contig3|original@767	263.7	3B	768812970
5B	Cluster_1235|Contig2|complementarySeq@256	210.4	5A	127681485
5B	Cluster_1235|Contig2|likelySeq@256	210.4	5B	245066184
3A	Cluster_12358|Contig1|complementarySeq@476	89.9	3B	461415906
3B	Cluster_12358|Contig1|likelySeq@1578	117	3B	461415906
3A	Cluster_12358|Contig2|original@417	90.1	3A	108372018
3B	Cluster_12358|Contig3|original@568	117	3B	461415906
6A	Cluster_12362|Contig2|original@674	180.4	6A	201923450
4B	Cluster_12367|Contig3|original@1319	137.2	4B	299324005
4B	Cluster_12370|Contig2|original@637	64	NA	NA
5A	Cluster_12374|Contig1|original@333	233.8	NA	NA
5A	Cluster_12374|Contig1|original@410	231.7	NA	NA
6A	Cluster_12376|Contig1|complementarySeq@741	154.5	6A	197461900
6B	Cluster_12376|Contig1|likelySeq@738	163.4	6B	191718369
4A	Cluster_1239|Contig2|complementarySeq@1871	95.8	4A	144946010
7A	Cluster_12392|Contig3|original@657	198.4	NA	NA
7A	Cluster_1240|Contig1|original@163	217.9	7B	230947217
7B	Cluster_1240|Contig2|original@305	149.3	7A	161834289
7A	Cluster_1240|Contig3|original@1260	217.9	7A	161834289
7A	Cluster_1240|Contig3|original@1112	217.9	7A	161834289
7B	Cluster_1240|Contig4|original@1358	152.1	7B	230947217
7B	Cluster_1240|Contig4|original@918	149.3	7B	230947217
2B	Cluster_12405|Contig3|original@3281	169.4	2B	221060105
4B	Cluster_12409|Contig1|original@632	125.9	NA	NA
4B	Cluster_12409|Contig1|original@154	125.9	NA	NA
4B	Cluster_12409|Contig2|original@1889	125.9	NA	NA
4B	Cluster_12409|Contig4|original@658	125.9	NA	NA
5B	Cluster_12425|Contig1|original@242	174.3	5B	217712236
5A	Cluster_1243|Contig1|original@1442	70.8	NA	NA
5A	Cluster_1243|Contig2|original@897	70.3	NA	NA
5A	Cluster_1243|Contig6|original@1533	70.8	NA	NA
1A	Cluster_12438|Contig1|original@989	183.4	1A	240474227
1A	Cluster_12438|Contig3|original@366	183.4	1A	240474227
7A	Cluster_12444|Contig2|original@214	24.6	NA	NA
3B	Cluster_12445|Contig2|original@397	236.6	3B	741784994
7A	Cluster_12467|Contig1|original@448	142.3	NA	NA
5A	Cluster_1247|Contig2|original@622	200.8	5A	103333009
3A	Cluster_1248|Contig1|original@256	192.2	NA	NA
2A	Cluster_1249|Contig1|original@355	107.5	2B	74308521
2A	Cluster_1249|Contig3|original@2919	107.5	2A	111669463
2B	Cluster_12493|Contig1|original@533	208.3	2B	285281167
2A	Cluster_12493|Contig2|original@191	190.5	2A	230183330
5A	Cluster_12497|Contig2|original@1400	97.5	5B	167601666
1B	Cluster_12499|Contig3|original@578	170.3	NA	NA
1B	Cluster_12499|Contig3|original@1525	174.1	NA	NA
7B	Cluster_125|Contig1|original@1985	101.7	7B	188817601
3A	Cluster_12504|Contig1|original@366	50	3A	8385036
3B	Cluster_12504|Contig2|original@235	65.5	3B	58952210
1B	Cluster_12507|Contig3|original@467	133.3	1B	241499168
1A	Cluster_12508|Contig1|complementarySeq@216	69.8	1A	33673889
1B	Cluster_12508|Contig1|likelySeq@201	78.9	1B	142571832
3A	Cluster_1251|Contig2|complementarySeq@569	223.8	3A	178211465
3A	Cluster_1251|Contig2|complementarySeq@605	223.8	3A	178211465
3A	Cluster_1251|Contig2|likelySeq@605	223.8	NA	NA
7B	Cluster_12511|Contig1|original@933	165.4	NA	NA
7B	Cluster_12511|Contig1|original@1134	165.4	NA	NA
6A	Cluster_12516|Contig1|original@244	180	1B	14863432
7A	Cluster_12519|Contig1|original@358	4.2	7A	742559
7A	Cluster_12519|Contig1|original@873	4.2	7A	742559
1B	Cluster_1252|Contig5|original@781	46.5	NA	NA
3B	Cluster_12520|Contig1|complementarySeq@906	141.8	NA	NA
7B	Cluster_12529|Contig1|likelySeq@1119	148.3	7B	229930091
4A	Cluster_12532|Contig5|original@679	228.4	NA	NA
2B	Cluster_12546|Contig4|original@718	81.9	NA	NA
7B	Cluster_12548|Contig1|original@2603	82	7B	42922089
7B	Cluster_1255|Contig2|original@3170	79.6	7B	60512436
6A	Cluster_12551|Contig1|original@788	189.9	6A	206244631
2A	Cluster_1256|Contig3|original@451	228.9	2B	319591958
2A	Cluster_1256|Contig4|original@444	228.9	2A	241705062
5B	Cluster_12561|Contig3|original@385	25.8	5B	7913677
5B	Cluster_12561|Contig5|likelySeq@1091	25.8	NA	NA
1B	Cluster_12564|Contig1|less_than_5_individuals|original@159	98.6	4A	3514296
1A	Cluster_1257|Contig1|original@2535	77	NA	NA
1A	Cluster_1257|Contig2|original@1306	77	NA	NA
3A	Cluster_1257|Contig4|original@905	234.7	3B	759889906
3B	Cluster_1257|Contig5|original@823	252.5	3B	759889906
2A	Cluster_12584|Contig4|original@140	255	2A	246621322
2A	Cluster_12584|Contig4|original@153	255.1	2A	246621322
7A	Cluster_12589|Contig2|likelySeq@1124	93.3	7A	25209491
7A	Cluster_12589|Contig2|likelySeq@1037	94	7A	25209491
5A	Cluster_12590|Contig2|original@361	75.9	NA	NA
2A	Cluster_126|Contig1|original@2866	112.7	2A	77600956
5B	Cluster_12600|Contig1|original@326	55.3	5B	64735961
4B	Cluster_12607|Contig1|original@629	80.5	4B	169076461
4A	Cluster_12607|Contig4|complementarySeq@231	83.3	NA	NA
1B	Cluster_12609|Contig2|complementarySeq@2100	57	NA	NA
1B	Cluster_12609|Contig2|likelySeq@1057	57	1B	110369722
1B	Cluster_12609|Contig2|likelySeq@2100	57	1B	110369722
5A	Cluster_12621|Contig1|original@209	113.7	5B	148983596
7A	Cluster_12637|Contig2|original@662	137.3	7B	65329740
1B	Cluster_12653|Contig1|complementarySeq@1319	69.1	1B	160517929
2B	Cluster_12656|Contig1|complementarySeq@585	282.4	2B	340750501
2B	Cluster_12656|Contig1|complementarySeq@570	281	2B	340750501
3B	Cluster_12668|Contig4|original@700	9	3B	13944796
3B	Cluster_12668|Contig5|original@241	8.5	3B	4099450
3A	Cluster_12668|Contig6|original@709	9.89999999999998	3B	4099450
5B	Cluster_1267|Contig2|original@1119	179.9	5A	113446450
5A	Cluster_1267|Contig3|original@1448	216.3	5A	113446450
5A	Cluster_1267|Contig4|original@2186	216.3	5A	113446450
3B	Cluster_12671|Contig1|original@706	43.8	NA	NA
1A	Cluster_12678|Contig1|complementarySeq@1936	74.8	NA	NA
1A	Cluster_12678|Contig1|complementarySeq@2210	74.8	NA	NA
7B	Cluster_12684|Contig2|original@176	31.3	7B	15795338
7B	Cluster_12684|Contig2|original@320	31.3	7B	15795338
1B	Cluster_127|Contig1|original@135	80.8	1A	26195478
3B	Cluster_12701|Contig2|likelySeq@1182	117	3B	438624284
2A	Cluster_12705|Contig1|original@1057	236.8	NA	NA
1A	Cluster_1271|Contig3|original@69	112.6	1A	219636170
7B	Cluster_12712|Contig1|original@63	12.8	NA	NA
3B	Cluster_12723|Contig1|original@299	93.3	3B	163358436
2A	Cluster_12729|Contig2|original@1453	93.7	2A	166905628
6B	Cluster_12731|Contig2|complementarySeq@1316	54.7	6B	12422714
6B	Cluster_12731|Contig2|complementarySeq@1134	54.7	6B	12422714
6A	Cluster_12731|Contig2|likelySeq@1241	35.6	6B	12422714
6A	Cluster_12731|Contig2|likelySeq@1149	32.2	6B	12422714
6B	Cluster_12731|Contig3|original@456	53.8	6B	12422714
5A	Cluster_12743|Contig2|complementarySeq@689	39.5	NA	NA
6A	Cluster_12746|Contig2|original@360	47.1	6A	14233521
3B	Cluster_12751|Contig1|likelySeq@1242	106.8	3B	250737436
5B	Cluster_12758|Contig2|original@204	85	NA	NA
5A	Cluster_12758|Contig2|original@1057	122.7	NA	NA
7A	Cluster_12768|Contig1|original@73	252.6	NA	NA
7B	Cluster_1277|Contig1|original@312	75.2	7A	44028346
5A	Cluster_12772|Contig3|original@959	237.7	NA	NA
2B	Cluster_12782|Contig2|original@286	98.7	2B	32188178
2A	Cluster_12785|Contig1|original@1058	135.5	2B	163935005
3A	Cluster_12786|Contig1|complementarySeq@993	122.2	NA	NA
7A	Cluster_12787|Contig3|original@979	143	7A	62620068
6B	Cluster_12795|Contig1|likelySeq@574	92.3	6B	40190563
7A	Cluster_12805|Contig1|original@1150	61.7	7A	17046155
4A	Cluster_12811|Contig1|original@1316	50.8	4A	29401915
5B	Cluster_12812|Contig2|likelySeq@757	161.4	5A	103622729
1A	Cluster_12819|Contig1|original@414	141.3	NA	NA
1A	Cluster_1282|Contig1|likelySeq@213	72.3	NA	NA
2A	Cluster_12823|Contig3|original@239	112.7	2A	31615872
5A	Cluster_12837|Contig2|original@532	221.8	5A	114205820
2B	Cluster_12841|Contig2|likelySeq@113	209.3	NA	NA
2B	Cluster_12855|Contig1|original@714	133.4	2B	203615066
4B	Cluster_12856|Contig1|original@222	1.4	4B	632112
2A	Cluster_1286|Contig1|original@1688	128.8	2B	190168977
2A	Cluster_1286|Contig3|original@1756	128.8	2B	190168977
7A	Cluster_12866|Contig2|original@1627	142.3	NA	NA
5A	Cluster_1287|Contig13|original@1001	317.6	4B	316796945
5A	Cluster_1287|Contig17|original@1425	317.6	5A	147627915
5A	Cluster_1287|Contig19|original@1081	317.6	5A	147627915
5A	Cluster_1287|Contig7|original@1198	317.6	5A	147627915
7A	Cluster_12870|Contig4|original@320	42.6	NA	NA
2A	Cluster_12877|Contig1|original@358	128.8	2B	119864621
4B	Cluster_1288|Contig2|original@142	156.9	4B	308137819
4B	Cluster_1288|Contig2|original@161	159.1	4B	308137819
7A	Cluster_12880|Contig1|original@213	192.8	7A	150174973
3A	Cluster_12881|Contig1|original@609	150.2	3A	160621734
5A	Cluster_12896|Contig1|original@342	314.6	5A	148194179
3B	Cluster_129|Contig1|original@1287	147.2	3B	571456581
3B	Cluster_129|Contig3|original@1011	147.2	3B	571456581
7A	Cluster_12902|Contig1|likelySeq@335	122.7	7A	49428746
7A	Cluster_12902|Contig2|complementarySeq@723	122.7	7A	49428746
6B	Cluster_12903|Contig2|original@566	148.1	NA	NA
5A	Cluster_12906|Contig3|complementarySeq@651	220.9	5B	224964956
5A	Cluster_12906|Contig3|complementarySeq@748	220.8	5B	224964956
1A	Cluster_1291|Contig1|original@130	70.8	1A	60961300
4B	Cluster_12911|Contig3|original@464	100.9	4A	60896230
3A	Cluster_1292|Contig2|original@87	155.9	3A	162893134
3B	Cluster_12921|Contig1|original@127	118	3B	460018481
3A	Cluster_12921|Contig3|original@1371	90.8	3A	103372807
7A	Cluster_1293|Contig1|original@351	94	7A	27025106
7A	Cluster_1293|Contig3|original@2505	94	7A	27025106
4A	Cluster_1294|Contig2|original@1738	90.4	4A	99879913
7B	Cluster_12941|Contig2|original@989	192.3	7B	239351195
7B	Cluster_12941|Contig2|original@585	192.3	7B	239351195
2A	Cluster_12947|Contig3|original@310	141.8	2A	206116057
5B	Cluster_12965|Contig4|original@346	162.1	NA	NA
3A	Cluster_12972|Contig2|original@645	187.8	NA	NA
3A	Cluster_12977|Contig2|original@259	181.2	3A	168349667
2B	Cluster_12989|Contig2|likelySeq@724	51.5	2A	8521338
2B	Cluster_130|Contig3|original@101	214.6	2B	293801528
2A	Cluster_130|Contig6|original@85	196.7	2A	222488102
5B	Cluster_13000|Contig5|original@961	72.6	5B	166056266
3A	Cluster_13003|Contig4|complementarySeq@665	122.2	NA	NA
6A	Cluster_13008|Contig1|original@218	170.4	6A	201471628
5B	Cluster_13009|Contig2|original@386	64.5	5B	105896118
2B	Cluster_1301|Contig4|original@1925	144.9	2B	212005535
3B	Cluster_13010|Contig2|complementarySeq@3020	163	3B	631389181
6B	Cluster_13015|Contig1|original@274	118.2	NA	NA
5A	Cluster_13017|Contig1|original@433	266.6	NA	NA
5A	Cluster_13017|Contig1|original@1145	266.6	NA	NA
5A	Cluster_13017|Contig2|original@435	266.6	3B	119194078
4B	Cluster_13020|Contig1|likelySeq@304	99.3	NA	NA
5B	Cluster_13025|Contig1|original@568	35.4	NA	NA
3B	Cluster_13026|Contig1|original@155	156.7	NA	NA
3B	Cluster_13030|Contig2|complementarySeq@441	87.6	3B	137043367
5A	Cluster_13043|Contig1|original@2171	211	5B	213957678
4B	Cluster_13054|Contig2|original@3053	117	NA	NA
4A	Cluster_1306|Contig2|complementarySeq@180	83.5	4A	151016184
4A	Cluster_1306|Contig2|complementarySeq@139	83.1	4A	151016184
2A	Cluster_13061|Contig3|original@762	112.7	2B	113518249
7A	Cluster_13088|Contig2|original@337	283.3	7A	181117620
7A	Cluster_13088|Contig2|original@276	281.8	7A	181117620
2A	Cluster_13090|Contig1|likelySeq@470	96.8	2A	136255646
1B	Cluster_13093|Contig2|original@182	62.8	NA	NA
4B	Cluster_13093|Contig3|likelySeq@177	89.6	NA	NA
3A	Cluster_131|Contig2|likelySeq@892	75.3	3A	27657328
5B	Cluster_1310|Contig3|original@3824	169.7	5A	105443745
5A	Cluster_1311|Contig10|original@1218	71.7	NA	NA
5A	Cluster_1311|Contig7|original@224	71.7	NA	NA
2A	Cluster_13110|Contig3|original@390	251.3	2B	334689869
5A	Cluster_13124|Contig1|complementarySeq@613	74.8	5A	16225727
4A	Cluster_13126|Contig1|complementarySeq@2217	132.2	4A	173980811
2A	Cluster_13127|Contig2|original@159	15.1	2B	4625047
2B	Cluster_13127|Contig4|original@1577	182.3	NA	NA
2B	Cluster_13127|Contig5|original@1388	35.5	2B	4625047
2B	Cluster_13127|Contig6|original@417	35.5	2B	4625047
2A	Cluster_13127|Contig8|original@1278	15.1	2A	4882731
5A	Cluster_13128|Contig1|original@886	216.8	NA	NA
2A	Cluster_1315|Contig1|original@940	21.9	NA	NA
2B	Cluster_1315|Contig2|original@974	49.7	NA	NA
6A	Cluster_13159|Contig1|likelySeq@427	91.3	6A	170879074
4A	Cluster_1316|Contig5|original@422	228.4	NA	NA
4A	Cluster_1316|Contig6|original@520	228.4	NA	NA
4B	Cluster_1317|Contig1|complementarySeq@291	58.3	4B	12515343
5B	Cluster_13172|Contig2|complementarySeq@617	145	5B	204296828
5B	Cluster_13172|Contig2|complementarySeq@587	144.4	5B	204296828
6B	Cluster_13175|Contig2|original@196	69.1	NA	NA
1B	Cluster_13188|Contig1|original@552	135.3	1B	241598966
3B	Cluster_13192|Contig2|original@139	147.2	3B	478855153
7A	Cluster_13194|Contig1|likelySeq@511	278.5	NA	NA
3B	Cluster_1320|Contig5|original@54	210.6	3A	98181912
1B	Cluster_13201|Contig1|likelySeq@219	138.2	1A	222073103
2B	Cluster_1321|Contig2|original@1743	242.9	2B	329336495
2B	Cluster_1321|Contig3|original@1629	242.9	2B	329336495
7B	Cluster_13212|Contig1|original@1919	68	7B	53912763
5B	Cluster_1322|Contig1|original@1800	213.7	NA	NA
5B	Cluster_1322|Contig2|original@1311	213.7	5B	252759340
5B	Cluster_1322|Contig2|original@1062	213.7	5B	252759340
2B	Cluster_13221|Contig1|original@337	138.2	2B	211078228
2A	Cluster_13221|Contig2|original@537	105.5	2A	181680924
4B	Cluster_1323|Contig4|likelySeq@1049	85.1	4B	108215742
5A	Cluster_13231|Contig1|original@1576	279.7	5A	133246504
2B	Cluster_13233|Contig1|original@213	155.8	2B	119864621
4A	Cluster_1324|Contig2|original@204	89.9	NA	NA
4A	Cluster_1324|Contig2|original@1542	90.4	NA	NA
4A	Cluster_1324|Contig4|original@242	90.4	NA	NA
5B	Cluster_13247|Contig1|complementarySeq@362	277.3	NA	NA
5B	Cluster_13247|Contig1|likelySeq@362	277.3	NA	NA
5B	Cluster_13247|Contig2|original@157	277.3	NA	NA
4A	Cluster_13247|Contig3|original@156	126.1	NA	NA
2B	Cluster_13249|Contig1|original@329	256.1	NA	NA
3B	Cluster_13250|Contig1|original@1611	182.1	NA	NA
1A	Cluster_13257|Contig1|original@341	60.4	1A	14048794
1A	Cluster_13259|Contig1|original@425	194.1	1A	244118155
1A	Cluster_13259|Contig4|original@1289	193.7	1A	244118155
2A	Cluster_13265|Contig1|original@563	249.3	2A	253895173
2B	Cluster_13265|Contig3|original@812	262.8	2A	253895173
6A	Cluster_13269|Contig1|original@2450	32.3	NA	NA
5A	Cluster_1327|Contig1|likelySeq@1037	237.7	5A	122273394
3A	Cluster_13271|Contig1|complementarySeq@1936	90.1	3A	107292206
4A	Cluster_13280|Contig2|original@149	59.3	4A	41862097
4A	Cluster_13280|Contig2|original@936	59.3	4A	41862097
7B	Cluster_1329|Contig5|original@825	102	NA	NA
7B	Cluster_1329|Contig6|original@1066	102	7B	174034834
7B	Cluster_1329|Contig7|original@1015	102	7B	174034834
7B	Cluster_13298|Contig1|original@1774	114	NA	NA
4B	Cluster_133|Contig8|original@649	89.2	NA	NA
4A	Cluster_1330|Contig1|original@1101	100.9	4A	140350786
4A	Cluster_1330|Contig4|original@1257	100.9	4A	140350786
1B	Cluster_13304|Contig1|original@1111	62.8	1B	104797474
5B	Cluster_13317|Contig1|original@747	248.4	NA	NA
3A	Cluster_1332|Contig11|original@154	145.5	NA	NA
3B	Cluster_1332|Contig6|complementarySeq@612	162.9	3B	626046628
1B	Cluster_13329|Contig1|likelySeq@1212	47.5	1B	105023163
5B	Cluster_13346|Contig3|likelySeq@789	170.3	5B	213870375
3B	Cluster_13366|Contig1|original@369	263.9	3B	770579648
3A	Cluster_13366|Contig2|original@484	253	3B	770307194
3A	Cluster_13366|Contig2|original@463	252.2	3B	770307194
5B	Cluster_13368|Contig1|complementarySeq@1867	156.4	5B	207819770
5B	Cluster_13368|Contig1|complementarySeq@1448	156.4	5B	207819770
5A	Cluster_13368|Contig1|likelySeq@1700	185.8	5A	101272796
7B	Cluster_13370|Contig1|original@1886	223	7A	178991439
7A	Cluster_13370|Contig4|original@1624	280.7	7A	178991439
7A	Cluster_13370|Contig4|original@167	281	7A	178991439
6A	Cluster_13378|Contig2|original@249	50.4	6A	20500954
7A	Cluster_13379|Contig1|likelySeq@256	117.2	7A	47778855
4B	Cluster_13394|Contig2|original@463	137.6	4B	299543028
2A	Cluster_13398|Contig1|original@178	34.8	NA	NA
4B	Cluster_13401|Contig3|original@695	128.9	NA	NA
7A	Cluster_13413|Contig3|original@717	61.5	4A	194006792
2B	Cluster_13418|Contig2|original@289	103.3	2B	44727261
1B	Cluster_1342|Contig2|complementarySeq@169	95.8	1B	195906037
1B	Cluster_1342|Contig2|likelySeq@169	95.8	1B	195906037
2A	Cluster_1343|Contig1|complementarySeq@965	112.9	2A	160640160
2A	Cluster_1343|Contig2|complementarySeq@1480	112.7	2A	160640160
3B	Cluster_1344|Contig5|original@289	247.4	NA	NA
3B	Cluster_1344|Contig5|original@438	246.9	NA	NA
3B	Cluster_13440|Contig2|original@203	6.30000000000001	3B	7797083
2A	Cluster_13442|Contig1|original@683	107.5	2B	249648631
3A	Cluster_13445|Contig1|original@166	127.9	NA	NA
2A	Cluster_13446|Contig1|original@270	93.3	2B	46680172
2A	Cluster_13446|Contig1|original@335	93.7	2B	46680172
7A	Cluster_13449|Contig1|original@1027	132.1	7A	67546890
1A	Cluster_13450|Contig1|original@427	70.8	1A	39015095
6A	Cluster_13454|Contig1|original@627	185.1	6A	202891767
6B	Cluster_13454|Contig2|original@1434	193.6	6B	199212365
6B	Cluster_13454|Contig3|original@560	193.6	6A	202891767
6A	Cluster_13457|Contig1|original@1583	104.1	6B	158665456
6A	Cluster_13457|Contig2|original@450	103.8	6A	165232803
2A	Cluster_1346|Contig1|original@1241	136.1	NA	NA
1B	Cluster_1347|Contig1|original@1330	113.8	NA	NA
2B	Cluster_1348|Contig3|complementarySeq@2554	193.9	2B	269609536
1A	Cluster_13489|Contig1|complementarySeq@348	50	1A	9900420
1B	Cluster_13489|Contig1|likelySeq@455	39	NA	NA
5A	Cluster_13490|Contig1|original@1111	290.5	5A	138530216
4B	Cluster_13493|Contig2|original@236	141.3	NA	NA
5B	Cluster_135|Contig6|original@292	237.9	5B	260193819
4A	Cluster_13506|Contig3|complementarySeq@659	55.5	4A	28493626
2A	Cluster_13507|Contig1|original@225	168.1	2A	88742503
4A	Cluster_1351|Contig1|original@1044	66.4	4A	67889126
4A	Cluster_1351|Contig3|original@1030	66.4	4A	67889126
2A	Cluster_13513|Contig1|complementarySeq@312	205.1	2B	313190567
3A	Cluster_13516|Contig1|original@206	255.2	NA	NA
1B	Cluster_13520|Contig1|original@956	101	NA	NA
4B	Cluster_13538|Contig1|original@214	67.7	4B	46271121
4B	Cluster_13538|Contig1|original@127	67.7	4B	46271121
1A	Cluster_1355|Contig1|original@277	70.8	1B	160204594
4B	Cluster_13557|Contig2|original@357	89.6	4B	123734979
4B	Cluster_13569|Contig1|original@367	132.1	4B	279001726
2A	Cluster_136|Contig1|complementarySeq@280	113.2	NA	NA
5B	Cluster_1360|Contig1|original@258	117.7	5B	193839353
4A	Cluster_13606|Contig1|complementarySeq@1934	67.3	4A	33568356
2B	Cluster_13613|Contig1|likelySeq@967	155.8	2B	119864621
2A	Cluster_1362|Contig1|original@631	96.8	2A	125613961
2A	Cluster_1362|Contig3|original@2587	96.8	2A	125613961
2A	Cluster_1362|Contig4|original@2103	96.8	NA	NA
7B	Cluster_13623|Contig2|original@373	141.5	NA	NA
2A	Cluster_13634|Contig1|original@391	228.5	2A	241135858
2A	Cluster_13634|Contig1|original@559	228.5	2A	241135858
2B	Cluster_13634|Contig2|original@1405	234.2	2B	323088727
2B	Cluster_13634|Contig2|original@260	234.2	2B	323088727
2A	Cluster_13634|Contig3|original@201	228.9	2A	241135858
4A	Cluster_13636|Contig1|likelySeq@729	90.4	4B	96771326
4B	Cluster_13637|Contig1|original@1284	89.6	NA	NA
5A	Cluster_13648|Contig2|original@896	71.7	NA	NA
4B	Cluster_13655|Contig1|original@1151	82	4B	203596707
2A	Cluster_1366|Contig1|original@414	207.9	NA	NA
4A	Cluster_1366|Contig5|original@632	188.6	NA	NA
4B	Cluster_13662|Contig1|original@1179	89.6	NA	NA
7B	Cluster_13666|Contig2|original@1023	24.2	7B	14138195
7B	Cluster_13666|Contig2|original@84	24.2	7B	14138195
2A	Cluster_13670|Contig1|complementarySeq@265	112.7	2B	120986573
2A	Cluster_1368|Contig2|original@534	172.2	NA	NA
3A	Cluster_13680|Contig2|complementarySeq@663	161.9	NA	NA
3B	Cluster_13680|Contig2|likelySeq@874	184.9	3B	373045443
1B	Cluster_13685|Contig1|likelySeq@373	76	1B	161456349
4B	Cluster_13695|Contig3|original@415	89.6	4A	9266737
6A	Cluster_13696|Contig1|original@711	61.3	6A	33118917
6A	Cluster_13696|Contig3|original@1365	61.3	6A	33118917
2A	Cluster_1371|Contig1|original@361	112.7	2A	86747036
2B	Cluster_1371|Contig4|complementarySeq@3613	144.9	2B	99044345
2B	Cluster_1371|Contig4|likelySeq@3613	144.9	2B	99044345
4B	Cluster_13719|Contig2|original@557	89.6	4B	126046735
6A	Cluster_13731|Contig1|complementarySeq@590	63	NA	NA
4A	Cluster_13749|Contig3|original@1859	87	4A	163978229
1B	Cluster_13753|Contig2|likelySeq@367	78.3	1B	184044180
1B	Cluster_13753|Contig2|likelySeq@494	80.8	1B	184044180
6A	Cluster_13758|Contig4|original@182	4.89999999999998	6A	3654157
3B	Cluster_1376|Contig1|original@158	242.9	3A	180367024
2A	Cluster_13762|Contig1|original@119	216	NA	NA
4A	Cluster_13768|Contig1|complementarySeq@354	69.2	4A	59392269
3B	Cluster_1377|Contig3|original@104	153.8	3B	594178098
5B	Cluster_13775|Contig2|complementarySeq@1267	224.6	5B	255761124
5B	Cluster_13775|Contig2|likelySeq@931	224.6	5B	255761124
5B	Cluster_13775|Contig2|likelySeq@565	224.6	5B	255761124
4B	Cluster_13778|Contig1|original@2104	138.5	NA	NA
2A	Cluster_13791|Contig2|original@722	215.7	2A	239251429
4B	Cluster_13797|Contig1|complementarySeq@535	163.4	4B	310284115
5A	Cluster_13797|Contig1|likelySeq@211	294.9	5A	139442800
5B	Cluster_1380|Contig1|complementarySeq@2456	216.6	5B	247069730
5B	Cluster_1380|Contig2|complementarySeq@1019	216.6	5B	247069730
